iter	Passed	Remaining
0	60	18002
1	71	10619
2	82	8122
3	92	6851
4	103	6103
5	114	5591
6	124	5231
7	135	4947
8	146	4727
9	156	4541
10	167	4402
11	177	4266
12	188	4164
13	199	4077
14	209	3974
15	220	3908
16	230	3839
17	240	3770
18	251	3715
19	261	3664
20	271	3613
21	282	3575
22	293	3530
23	303	3491
24	314	3460
25	324	3424
26	334	3384
27	345	3356
28	355	3325
29	365	3290
30	376	3271
31	387	3241
32	396	3210
33	406	3179
34	416	3155
35	426	3127
36	435	3098
37	445	3072
38	456	3052
39	465	3027
40	476	3007
41	485	2984
42	496	2967
43	507	2951
44	516	2929
45	526	2905
46	536	2888
47	546	2868
48	556	2852
49	566	2833
50	576	2816
51	586	2795
52	595	2775
53	605	2759
54	615	2743
55	625	2727
56	636	2714
57	646	2698
58	656	2682
59	667	2670
60	677	2653
61	687	2637
62	697	2622
63	706	2604
64	715	2586
65	726	2575
66	736	2561
67	746	2547
68	756	2533
69	766	2519
70	776	2503
71	786	2489
72	796	2476
73	806	2463
74	816	2449
75	826	2434
76	836	2421
77	846	2409
78	856	2395
79	867	2385
80	876	2370
81	887	2359
82	897	2346
83	907	2334
84	918	2322
85	928	2311
86	938	2298
87	948	2285
88	959	2273
89	968	2260
90	978	2247
91	988	2233
92	998	2221
93	1007	2208
94	1016	2194
95	1027	2182
96	1036	2168
97	1046	2156
98	1056	2144
99	1066	2132
100	1076	2120
101	1086	2108
102	1096	2096
103	1106	2084
104	1115	2072
105	1126	2061
106	1135	2048
107	1145	2036
108	1156	2025
109	1166	2014
110	1175	2001
111	1186	1991
112	1196	1979
113	1206	1968
114	1216	1956
115	1225	1944
116	1236	1933
117	1246	1921
118	1256	1910
119	1265	1898
120	1275	1886
121	1284	1874
122	1294	1862
123	1304	1851
124	1314	1840
125	1324	1828
126	1334	1817
127	1344	1806
128	1353	1794
129	1362	1781
130	1372	1770
131	1382	1759
132	1392	1747
133	1402	1737
134	1412	1726
135	1423	1716
136	1432	1704
137	1442	1692
138	1451	1681
139	1461	1670
140	1471	1659
141	1480	1647
142	1490	1636
143	1500	1625
144	1510	1614
145	1520	1603
146	1529	1592
147	1539	1581
148	1549	1570
149	1559	1559
150	1569	1548
151	1579	1537
152	1589	1527
153	1600	1517
154	1610	1506
155	1619	1494
156	1629	1484
157	1639	1473
158	1649	1462
159	1659	1451
160	1669	1441
161	1679	1431
162	1690	1420
163	1700	1409
164	1709	1399
165	1720	1388
166	1729	1377
167	1739	1366
168	1749	1356
169	1758	1344
170	1768	1334
171	1778	1323
172	1788	1312
173	1798	1302
174	1808	1291
175	1817	1280
176	1827	1270
177	1837	1259
178	1848	1249
179	1857	1238
180	1867	1228
181	1877	1217
182	1888	1207
183	1898	1197
184	1908	1186
185	1918	1175
186	1928	1165
187	1938	1154
188	1949	1144
189	1958	1134
190	1968	1123
191	1978	1112
192	1987	1102
193	1997	1091
194	2007	1080
195	2016	1070
196	2027	1059
197	2037	1049
198	2048	1039
199	2058	1029
200	2068	1018
201	2079	1008
202	2089	998
203	2098	987
204	2108	977
205	2118	966
206	2128	956
207	2139	946
208	2148	935
209	2158	925
210	2168	914
211	2177	904
212	2188	893
213	2198	883
214	2208	873
215	2218	862
216	2228	852
217	2238	842
218	2248	831
219	2259	821
220	2269	811
221	2279	800
222	2290	790
223	2300	780
224	2310	770
225	2321	759
226	2330	749
227	2340	739
228	2350	728
229	2360	718
230	2371	708
231	2381	698
232	2392	688
233	2402	677
234	2412	667
235	2422	656
236	2432	646
237	2442	636
238	2452	625
239	2462	615
240	2472	605
241	2482	594
242	2492	584
243	2502	574
244	2512	563
245	2521	553
246	2532	543
247	2541	532
248	2551	522
249	2561	512
250	2570	501
251	2580	491
252	2590	481
253	2600	470
254	2610	460
255	2619	450
256	2630	440
257	2640	429
258	2650	419
259	2660	409
260	2670	399
261	2680	388
262	2689	378
263	2699	368
264	2709	357
265	2719	347
266	2729	337
267	2739	327
268	2751	317
269	2760	306
270	2770	296
271	2780	286
272	2791	276
273	2801	265
274	2812	255
275	2822	245
276	2832	235
277	2841	224
278	2851	214
279	2860	204
280	2870	194
281	2881	183
282	2892	173
283	2901	163
284	2911	153
285	2920	142
286	2930	132
287	2939	122
288	2949	112
289	2959	102
290	2968	91
291	2979	81
292	2988	71
293	2998	61
294	3008	50
295	3017	40
296	3027	30
297	3038	20
298	3048	10
299	3058	0
