Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition
620,4.803888799,17.86892133,3.342706854,78.84222206,76.38662347,0
645,3.895740722,9.626817887,1.927221392,79.67557323,77.23685196,1
720,5.51466509,4.940197204,2.841948372,77.73732708,70.80390533,1
1173,3.74698226,7.109040879,0.920998466,78.91334091,81.57746133,1
1258,3.123135711,4.575126474,1.376610933,78.21573657,79.89765109,0
895,2.11140088,5.207449621,1.890736084,87.86947449,77.11813209,1
1180,4.757536297,7.083491927,2.107712108,87.97385768,79.66952102,0
723,3.205914674,2.78698813,2.51988455,78.500975,78.12832533,1
1484,4.695227175,7.098034442,1.336569881,76.22320085,70.95702446,1
919,3.61609765,5.615713285,3.02186988,78.91876963,80.00371507,1
578,2.410821333,5.487606201,2.174863542,85.4518363,91.7161914,1
652,4.261604398,6.581957228,1.380454447,77.36245778,74.62237574,1
676,1.923723988,6.504683053,2.308999693,78.22910465,80.78522328,0
1109,3.342379779,6.255023324,2.533035214,80.07399428,84.82467069,1
735,3.260304756,5.64401045,0.949048447,85.11326091,81.17274839,1
860,3.652125222,3.558105873,1.614069839,81.37990923,81.82519219,0
774,5.262680268,13.80014318,2.818551974,75.74778361,72.60081152,1
436,2.353372127,3.307727192,2.512178272,78.90107613,86.07489171,1
824,2.00515624,3.842437365,2.437712118,83.08740726,81.7085922,0
1251,3.740493251,5.817403683,3.385734221,79.42541557,70.2288695,1
633,3.366976104,6.816481616,1.582771821,76.92154652,80.53176169,1
659,4.950683271,5.938334049,1.620601577,77.81354596,66.80112628,0
710,4.746208266,5.257445091,2.938528308,77.11121095,74.44639821,0
526,2.386183086,4.444958405,4.479940973,78.9319925,91.97172922,1
949,3.433060192,5.299009357,2.033034304,79.54507434,81.66896226,1
678,0.479635069,9.163478856,3.78031899,77.92203806,71.48016024,1
480,3.230848075,7.312983404,2.578139573,84.06816885,81.5841692,0
845,2.18104482,11.86204856,1.934250871,83.54002727,79.44671026,0
1187,2.576814196,5.038818543,2.263057798,87.10690607,79.42617984,0
895,4.800725605,6.351455817,4.464492988,78.81525711,73.31295568,0
570,3.588485522,9.509094208,2.609567365,77.48095593,86.72124706,1
722,2.148746885,4.905491755,1.779630631,76.49055618,70.09609787,1
764,2.443558885,7.433039328,4.2989779,78.23907203,80.87922922,0
518,2.368732537,5.181676507,5.214254895,85.4016474,79.9827463,0
542,2.748263609,5.693001324,3.046046387,83.14729889,67.58096471,1
678,3.988515693,3.913970465,1.878990031,78.57700289,79.17562019,1
518,3.78000171,2.987619932,2.056719224,78.48219906,84.56448758,1
189,3.234348618,7.550692211,2.984765793,77.92301057,79.79943121,1
661,3.328853256,5.896481714,1.906866354,76.96720316,85.45673161,1
516,2.086523751,4.560966018,5.362472239,75.47803494,84.59214221,1
1572,3.075017284,11.56318168,1.651836248,78.95341255,79.53746718,1
560,3.921723852,6.490193598,3.563103601,88.65408349,91.57749239,1
993,2.026188578,5.038398975,3.306458854,76.12759986,83.51053688,1
880,3.656871203,3.705720546,1.431688389,77.50310015,80.39458106,0
383,2.450984124,4.521320305,1.675139226,77.25322027,88.45762357,1
652,4.093448356,6.856390016,2.80070338,79.0342228,77.37923483,0
823,2.377631328,2.604273235,1.977949811,75.11317197,78.89877273,1
824,3.467093088,6.218246421,1.340763806,78.93467123,82.7691373,0
872,2.208564187,6.479354416,3.178273448,78.93227171,74.04843235,0
1047,2.719611331,4.750276387,2.97394848,78.66319347,83.69196964,0
429,3.378733978,3.557734043,2.692527804,79.95684478,95.98068928,0
701,3.276449787,7.977463065,1.65934129,78.2314748,79.95489921,1
807,2.222978657,6.580868232,1.529079785,79.29258768,78.50290003,0
426,4.954114141,11.62403103,3.155984802,78.4648956,87.78163743,1
1035,3.504249412,10.83670438,2.52081479,78.67564701,81.03622192,1
734,4.793283817,5.023126709,1.601122744,78.17995003,85.68051404,1
540,5.365642397,5.938129629,1.357369665,79.26360584,83.56757697,1
688,3.939913932,8.741117337,2.242441261,79.30133826,80.91273956,1
1374,4.638256814,7.071149452,1.599645058,80.18931982,76.44667846,0
434,2.883302803,7.329031216,3.515398961,76.29322516,75.60286523,1
518,1.011640714,5.047355437,3.4605445,79.0417219,74.02740424,1
757,2.862862285,6.121096537,1.90194735,78.11478093,83.53731466,1
974,4.371734248,6.968695577,6.877908286,77.49667284,85.00863202,0
433,2.753953372,13.30328276,1.397313169,85.96524144,81.51896262,1
719,4.584513849,5.250556059,2.028327625,81.95860329,75.65697431,1
661,2.262503261,5.786728643,5.574706563,79.88113137,73.81278138,0
395,3.044970183,4.703295833,1.38262742,76.46089892,77.78069575,1
448,2.245430469,5.191741366,3.244762943,83.03165788,81.03386903,1
451,2.607890142,10.48333267,4.594584407,80.36468442,79.337311,1
608,4.975467378,7.789730373,2.067665689,79.13085552,75.90755935,0
799,2.314471379,7.867092458,2.406820679,78.15791394,78.98383581,0
922,2.90929315,10.87173975,2.068504267,80.44941153,69.98742186,1
682,2.981280623,5.171496697,1.975533065,79.7919589,76.32427248,1
985,2.905970866,4.2347643,1.797964553,82.36190833,93.8406114,0
512,2.434947278,7.150068063,2.877773643,76.53663855,70.68333413,1
728,2.555692885,6.163416795,1.988127335,76.31658761,77.15320157,1
1299,3.182990906,2.329230698,1.570250593,85.25343767,76.09033509,0
498,2.647142614,7.629403017,1.249165971,79.40551031,74.43087331,1
700,2.427542143,6.125862321,2.881664377,78.16984422,75.30242084,1
583,5.161965213,6.359111082,3.491923466,82.16648371,76.14374505,1
746,2.161600322,4.14581951,3.176401797,77.52446939,92.77463085,0
737,3.843799977,9.070537938,1.168340201,79.10329677,88.96997738,1
719,3.869501819,8.30291986,1.669102852,77.20876613,75.58709457,0
989,3.091826643,7.21121171,4.80303008,77.62283023,75.52065994,1
825,3.585143,5.337108944,2.192528442,85.05474792,85.55169589,1
994,3.713030039,6.319465759,2.065500959,80.3825998,72.55226737,0
435,2.453588629,5.66394945,2.684343439,88.72639488,73.74196517,1
966,4.387725739,6.47014664,0.98455027,76.9752559,69.83771531,0
721,5.294689701,3.844894319,2.418865851,79.20693334,79.79981317,1
654,3.113948962,4.73482065,2.779707317,78.72651209,90.01405451,0
553,2.802465304,11.32342795,2.559288353,75.67485498,77.83990124,1
907,2.699196356,8.414517176,0.331061913,80.92605837,80.62994756,1
1021,2.363451668,6.287302641,3.009604245,77.99303593,90.52807084,1
872,2.923483018,6.54737104,1.537742197,77.29686544,82.79720293,0
698,3.296641074,6.100613881,3.439388465,79.15070485,74.2563406,1
577,2.07957576,6.296117041,2.088486605,79.41735627,84.03764549,1
969,2.576438707,8.163974432,2.085179277,85.93795727,83.03796013,1
840,2.488903982,5.569276853,2.077240676,79.26197327,82.27093729,1
566,4.063794013,4.438963609,3.012955121,78.2899594,77.01567973,0
756,3.158210629,9.433638637,3.019329035,80.02419037,89.61547874,1
973,3.655193075,4.952587673,2.911512332,76.64118858,82.17345938,1
396,3.502444062,11.75985751,1.726092566,79.97562197,79.27833542,1
1047,4.525758586,9.852326189,1.436560341,79.49135202,87.0948564,1
573,4.867682614,2.825025696,1.697025108,80.22572731,85.64439083,1
557,2.179428113,5.409900358,2.74660523,83.20816149,85.91278134,0
1194,3.005504126,1.706456265,2.058838191,76.63546565,81.85044962,0
993,2.425632788,4.95113772,1.676549478,77.95836831,79.69336667,1
837,2.253758346,6.229153154,2.852346281,76.38194242,80.81910935,1
1093,2.56187634,4.608761134,1.751273245,87.73371847,94.20352461,1
1427,4.813734873,11.76327806,2.87895228,79.97465792,82.23828114,1
804,2.447769837,8.628294683,1.510926695,77.27025256,73.3465074,1
678,2.268526139,4.388601761,1.614912529,79.66200213,91.25202096,1
1067,4.034484112,5.938320812,3.46344774,78.27048836,93.9583098,1
702,4.169175633,0.673270741,2.902641582,76.89389719,76.0814541,0
617,3.461928464,6.336159318,1.495317234,75.98272395,69.66260243,1
569,2.185815139,6.418845759,1.467961186,76.72440663,75.63034648,1
919,3.56371373,6.846393346,2.176897804,85.97278875,80.39112031,0
548,4.840758756,6.119180813,3.180815928,78.49300948,68.14328055,1
781,4.584106817,6.711678597,1.630192209,79.14319597,81.8450681,1
603,3.091647095,5.632162809,2.651566736,78.19866393,77.04417796,1
462,2.502990028,4.614554266,2.85213181,79.418983,79.20238268,1
891,4.676606169,5.878548716,0.899825225,80.19031747,80.2496666,1
948,4.939121417,8.385726694,1.451014277,80.22254967,68.35144073,1
745,3.731986565,6.296358598,1.775715156,77.73280921,79.56750562,1
